fecha|cliente|servicio|vehiculo|origen|destino|km|cant_tramos
15/02/2011|15|12070|3|26007040|14021240|201|1
08/02/2011|18|12071|3|06119050|06119010|510|1
15/02/2011|18|12072|4|06134060|06112080|596|1
25/02/2011|19|12073|2|14021250|14028050|317|1
20/02/2011|3|12074|3|50056060|50035060|258|1
18/02/2011|19|12075|2|50049050|14021290|874|1
08/02/2011|10|12076|5|14182290|06224020|1053|1
03/02/2011|12|12077|3|14021270|26007020|70|1
19/02/2011|3|12078|4|06134060|14028030|459|1
26/02/2011|20|12079|3|06119040|14021230|776|1
05/02/2011|19|12080|1|14028020|14021240|216|1
15/02/2011|16|12081|5|06119070|14021260|913|1
15/03/2011|1|12082|2|14028020|06112080|369|1
21/03/2011|20|12083|5|14021310|50042020|888|1
22/03/2011|10|12084|3|50056050|26007030|152|1
29/03/2011|7|12085|2|14021280|06134050|186|1
26/03/2011|2|12086|2|06210050|06126010|945|1
22/03/2011|1|12087|5|06119070|06112080|867|1
08/03/2011|3|12088|5|50035060|06217020|589|1
12/03/2011|15|12089|6|14182270|06217030|213|1
31/03/2011|6|12090|1|06126020|06112090|617|1
27/03/2011|16|12091|5|50049010|14021300|111|1
16/03/2011|7|12092|4|06119040|06112090|552|1
16/03/2011|19|12093|4|14021230|06119040|934|1
03/03/2011|6|12094|1|14021310|14028040|142|1
21/03/2011|3|12095|6|06119060|06134030|219|1
05/03/2011|6|12096|2|14028050|06112090|574|1
16/03/2011|7|12097|6|06134060|06119020|113|1
26/03/2011|7|12098|5|14021310|06126010|214|1
13/03/2011|9|12099|2|14021280|50042020|758|1
30/03/2011|17|12100|4|06119090|06217020|809|1
25/03/2011|12|12101|3|14021250|26007040|183|1
06/03/2011|7|12102|6|50042030|06126020|1084|1
03/03/2011|3|12103|6|14021250|14182290|873|1
03/03/2011|9|12104|5|06119050|14182270|617|1
14/03/2011|18|12105|1|06217010|06119060|693|1
21/03/2011|10|12106|2|50049050|14021260|801|1
19/03/2011|13|12107|3|06134020|26007040|295|1
20/03/2011|18|12108|3|06134050|06126030|1117|1
28/03/2011|11|12109|6|14021310|14028040|417|1
19/03/2011|18|12110|5|14021310|06217010|182|1
21/03/2011|4|12111|4|26007030|06134050|239|1
31/03/2011|18|12112|6|06126040|06210050|587|1
17/03/2011|5|12113|2|06126030|06134050|961|1
25/03/2011|16|12114|4|06119080|50049010|168|1
18/03/2011|8|12115|4|06119010|06134020|724|1
23/03/2011|16|12116|2|14021300|26007020|1125|1
25/03/2011|3|12117|1|06126020|14021230|507|1
19/03/2011|13|12118|4|06134060|14021300|831|1
19/03/2011|19|12119|2|06134020|06112090|483|1
18/03/2011|12|12120|1|14021250|50049090|151|1
15/03/2011|8|12121|6|06134040|14021230|956|1
30/03/2011|12|12122|2|14021230|14028020|801|1
18/03/2011|20|12123|1|50049050|06134040|555|1
18/03/2011|10|12124|5|06224020|14021290|77|1
05/04/2011|13|12125|2|26007040|50035050|1076|1
05/04/2011|6|12126|4|50056060|06224010|713|1
02/04/2011|19|12127|5|14021310|06224020|545|1
24/04/2011|6|12128|6|06134060|06126010|363|1
18/04/2011|6|12129|1|50049110|06126010|990|1
15/04/2011|20|12130|3|50049090|14021270|963|1
23/04/2011|19|12131|4|14021270|14028020|188|1
12/04/2011|8|12132|6|06134030|06119010|308|1
01/04/2011|5|12133|1|50035050|06119080|220|1
14/04/2011|17|12134|2|06217010|14028020|448|1
22/04/2011|11|12135|2|14021240|26007030|271|1
04/04/2011|2|12136|6|50049110|06224010|189|1
02/04/2011|9|12137|3|50056060|50049010|722|1
29/04/2011|4|12138|6|26007030|50056050|443|1
20/04/2011|4|12139|6|06119050|06119010|872|1
20/04/2011|19|12140|4|06119060|06217020|649|1
04/04/2011|12|12141|4|06126040|06134060|723|1
07/04/2011|1|12142|4|14021280|06134050|273|1
23/04/2011|10|12143|6|06134020|06134060|190|1
26/04/2011|9|12144|4|06112090|06119070|121|1
27/04/2011|14|12145|1|06112090|06112080|653|1
19/04/2011|16|12146|2|06210050|14021290|951|1
20/04/2011|2|12147|2|50042020|06210050|1106|1
28/04/2011|13|12148|1|06217020|06112090|735|1
03/04/2011|4|12149|1|14021260|06119060|435|1
02/04/2011|18|12150|3|14182270|14021260|153|1
08/04/2011|13|12151|3|50056060|14182290|279|1
07/04/2011|19|12152|4|06112080|50056060|62|1
28/04/2011|10|12153|6|06119050|26007020|196|1
27/04/2011|15|12154|5|14021230|14021310|535|1
01/04/2011|16|12155|3|50049050|06126030|489|1
16/04/2011|19|12156|3|50035060|50035050|600|1
10/04/2011|11|12157|6|14021300|06134020|1126|1
24/04/2011|13|12158|6|26007030|50056050|585|1
26/04/2011|6|12159|1|14021310|06119020|1103|1
30/04/2011|16|12160|1|50056060|50035060|692|1
21/04/2011|11|12161|1|06126020|14021270|969|1
30/04/2011|19|12162|3|26007040|14021250|1009|1
24/04/2011|7|12163|6|50042030|14021260|790|1
31/05/2011|20|12164|6|06217020|14021310|317|1
26/05/2011|19|12165|4|14028040|14021230|107|1
10/05/2011|18|12166|2|06119020|06119040|98|1
28/05/2011|6|12167|2|14021280|06134030|616|1
31/05/2011|1|12168|6|14028050|50056050|154|1
25/05/2011|14|12169|1|14028030|06134010|741|1
05/05/2011|9|12170|1|26007020|50049110|103|1
13/05/2011|8|12171|2|06224010|50056050|794|1
17/05/2011|10|12172|6|26007020|06134020|928|1
31/05/2011|20|12173|3|06119080|06134040|555|1
30/05/2011|11|12174|2|14021280|50035060|799|1
05/05/2011|17|12175|3|14182270|06217010|577|1
04/05/2011|10|12176|6|06217020|06126010|792|1
11/05/2011|11|12177|5|06210050|50049090|324|1
01/05/2011|2|12178|1|14182280|14021290|559|1
10/05/2011|4|12179|2|06126010|06134020|942|1
26/05/2011|12|12180|1|06210050|26007020|802|1
15/05/2011|16|12181|1|06134020|14021290|120|1
07/05/2011|6|12182|6|14028030|50042030|305|1
21/05/2011|1|12183|5|50056050|06217010|40|1
02/05/2011|10|12184|2|14028020|06217020|1077|1
07/05/2011|18|12185|5|14021300|06126030|465|1
24/05/2011|11|12186|2|14021310|50049050|559|1
24/05/2011|20|12187|4|50049010|26007030|186|1
16/05/2011|7|12188|3|50042030|26007030|949|1
04/05/2011|18|12189|3|06134040|14021240|857|1
10/05/2011|18|12190|1|14182290|06134030|293|1
31/05/2011|2|12191|4|14182270|14028040|141|1
03/05/2011|7|12192|1|50035060|06126020|905|1
09/05/2011|8|12193|2|50049010|06210050|103|1
02/05/2011|1|12194|4|06126020|26007020|857|1
26/05/2011|6|12195|2|14021320|50049110|174|1
12/05/2011|6|12196|6|06119080|14021310|807|1
01/05/2011|5|12197|4|06119040|14021260|618|1
30/05/2011|12|12198|1|06134030|26007020|699|1
11/05/2011|17|12199|2|06112090|06134060|119|1
20/05/2011|14|12200|1|50049090|06217010|1009|1
03/05/2011|10|12201|6|06134060|06126040|233|1
04/05/2011|15|12202|5|50035060|06126040|672|1
21/05/2011|3|12203|1|06119040|06119070|314|1
13/05/2011|10|12204|3|50049090|14021260|856|1
16/05/2011|4|12205|2|50035060|50049090|69|1
07/05/2011|18|12206|4|14182290|06134010|128|1
11/06/2011|15|12207|6|14021290|50035060|155|1
05/06/2011|7|12208|1|14021270|06119020|1022|1
22/06/2011|7|12209|6|14021260|14021300|313|1
26/06/2011|8|12210|2|06134020|14028050|735|1
13/06/2011|11|12211|2|50049050|14028030|662|1
01/06/2011|20|12212|5|06119080|06112080|971|1
28/06/2011|3|12213|5|06119040|06134050|310|1
16/06/2011|9|12214|4|06112090|14028050|407|1
05/06/2011|1|12215|4|50056060|06119080|1083|1
15/06/2011|15|12216|2|06134020|14021270|521|1
15/06/2011|7|12217|1|06126020|50056050|334|1
23/06/2011|19|12218|6|06134050|06134060|251|1
23/06/2011|11|12219|4|06119020|50035050|560|1
21/06/2011|19|12220|2|06126040|06119040|146|1
20/06/2011|16|12221|3|14021240|14021320|40|1
09/06/2011|6|12222|4|14021250|06119080|769|1
01/06/2011|9|12223|1|06224010|06134060|1117|1
18/06/2011|9|12224|5|14021310|06217020|668|1
09/06/2011|15|12225|5|06119090|06119040|263|1
26/06/2011|4|12226|1|06134020|14021300|881|1
06/06/2011|2|12227|2|06217020|06126010|210|1
09/06/2011|9|12228|6|06210050|50035060|256|1
20/06/2011|17|12229|6|06119060|50056060|54|1
12/06/2011|4|12230|3|06134010|06119060|660|1
09/06/2011|7|12231|3|14028040|06119070|158|1
09/06/2011|18|12232|2|14028040|06134060|416|1
07/06/2011|3|12233|3|14021320|26007020|41|1
15/06/2011|4|12234|3|06217030|06210050|1033|1
18/06/2011|10|12235|5|06119040|06134060|1073|1
10/06/2011|10|12236|3|14021270|06126010|503|1
20/06/2011|14|12237|5|26007030|06119040|764|1
10/06/2011|2|12238|5|06224010|06217020|934|1
30/06/2011|18|12239|1|14021320|14182290|1130|1
14/06/2011|8|12240|2|50042020|14021240|474|1
07/06/2011|18|12241|1|06126040|06134060|342|1
21/06/2011|5|12242|2|26007030|14021270|601|1
01/06/2011|14|12243|1|26007030|26007020|1133|1
25/06/2011|11|12244|3|06217020|14021250|948|1
10/06/2011|14|12245|1|14028040|06224010|760|1
30/06/2011|17|12246|5|06217020|06119090|608|1
10/06/2011|4|12247|4|06119050|06112090|420|1
03/07/2011|6|12248|1|06119060|50042020|304|1
11/07/2011|19|12249|6|14028020|26007020|899|1
15/07/2011|3|12250|6|50035060|50042030|119|1
22/07/2011|13|12251|4|06224010|06119080|1107|1
05/07/2011|20|12252|4|06217020|06119090|124|1
12/07/2011|13|12253|4|14021250|14021280|804|1
30/07/2011|10|12254|5|06224010|06134030|870|1
11/07/2011|17|12255|4|06119050|14021260|383|1
11/07/2011|7|12256|2|06210050|06119040|522|1
07/07/2011|6|12257|4|06119040|14021300|364|1
28/07/2011|9|12258|2|06134060|06119020|866|1
02/07/2011|6|12259|6|14021300|06134040|563|1
28/07/2011|16|12260|3|26007020|06134050|922|1
12/07/2011|12|12261|3|06119050|06112090|478|1
26/07/2011|9|12262|1|06112080|14021280|527|1
16/07/2011|16|12263|4|06134020|50049050|401|1
16/07/2011|7|12264|4|06119060|14021230|538|1
19/07/2011|12|12265|3|06217020|50035050|105|1
07/07/2011|7|12266|3|06134040|14182270|1111|1
19/07/2011|9|12267|2|14021310|06217020|120|1
15/07/2011|7|12268|3|14028030|50042030|101|1
02/07/2011|3|12269|4|06217010|06224020|230|1
19/07/2011|17|12270|1|06134030|06119050|747|1
15/07/2011|15|12271|6|50049010|14028030|223|1
31/07/2011|14|12272|4|26007040|50049010|983|1
28/07/2011|10|12273|6|14028020|26014010|815|1
30/07/2011|10|12274|5|50056050|14021320|1044|1
13/07/2011|2|12275|1|26014010|06224010|987|1
14/07/2011|11|12276|6|06126010|50042020|600|1
17/07/2011|16|12277|6|14182290|06126020|645|1
02/07/2011|8|12278|4|06126010|50035060|93|1
26/07/2011|6|12279|2|06134020|50042030|453|1
30/07/2011|4|12280|4|06134060|26007040|609|1
18/07/2011|4|12281|5|06112080|14021240|51|1
03/07/2011|15|12282|1|14021320|26014010|455|1
20/07/2011|19|12283|1|06217010|26007030|793|1
02/07/2011|17|12284|5|06134030|14021250|386|1
13/07/2011|7|12285|3|14021320|06134060|1030|1
12/07/2011|8|12286|6|06112080|14028040|235|1
16/07/2011|11|12287|3|14021230|06134050|1073|1
10/07/2011|14|12288|3|06119020|14021280|1099|1
27/08/2011|14|12289|2|14028050|06119050|103|1
26/08/2011|7|12290|2|26014010|50035050|491|1
26/08/2011|6|12291|4|14021300|06119040|371|1
29/08/2011|16|12292|3|14028040|06217030|882|1
07/08/2011|9|12293|5|06119070|06119060|224|1
01/08/2011|6|12294|5|14028020|50035050|101|1
11/08/2011|5|12295|4|14028020|14021250|636|1
05/08/2011|9|12296|5|50049050|06217020|83|1
05/08/2011|15|12297|5|14028020|50035060|685|1
17/08/2011|16|12298|4|06119040|06134060|862|1
31/08/2011|1|12299|5|06126030|50056050|754|1
25/08/2011|2|12300|2|06134050|14021280|56|1
31/08/2011|9|12301|3|06134050|06210050|346|1
24/08/2011|14|12302|1|14021240|50035060|222|1
23/08/2011|18|12303|3|50049110|06134060|670|1
10/08/2011|20|12304|6|06134060|14021260|398|1
12/08/2011|2|12305|5|06134010|50056050|678|1
04/08/2011|8|12306|3|06217020|06119020|412|1
18/08/2011|13|12307|6|14021250|06134050|1098|1
10/08/2011|3|12308|3|14182290|14021260|846|1
20/08/2011|12|12309|6|14021260|50042020|747|1
22/08/2011|18|12310|2|50042020|26014010|850|1
09/08/2011|3|12311|6|06112080|14028050|777|1
27/08/2011|8|12312|2|06134060|14021240|898|1
30/08/2011|4|12313|5|06224020|06119070|1127|1
21/08/2011|17|12314|6|06134020|14021240|571|1
26/08/2011|11|12315|2|06134030|26007030|446|1
19/08/2011|7|12316|5|06119020|06217010|665|1
28/08/2011|7|12317|5|14028030|14021260|250|1
03/08/2011|10|12318|1|50042030|06134060|805|1
11/08/2011|1|12319|3|14182270|50049110|372|1
25/08/2011|19|12320|4|50049090|14021320|767|1
26/08/2011|1|12321|5|14028040|14021230|655|1
06/08/2011|4|12322|6|50049010|14021290|813|1
11/08/2011|13|12323|1|06134010|06126030|364|1
10/08/2011|11|12324|1|14182270|14028020|874|1
08/09/2011|7|12325|3|06119050|14182270|786|1
11/09/2011|17|12326|5|14021270|50042020|872|1
13/09/2011|4|12327|6|50042030|06112090|927|1
29/09/2011|16|12328|6|06224010|14021310|107|1
05/09/2011|11|12329|5|26007030|06134060|800|1
02/09/2011|7|12330|1|50056050|50042020|900|1
09/09/2011|11|12331|6|50049010|14021300|1074|1
26/09/2011|12|12332|5|26007020|14182290|117|1
25/09/2011|6|12333|2|06126040|14182280|573|1
05/09/2011|6|12334|5|06119090|50049010|654|1
12/09/2011|14|12335|2|14021310|06134050|852|1
15/09/2011|3|12336|1|06134030|14021240|1110|1
10/09/2011|20|12337|1|50049010|06134060|825|1
20/09/2011|6|12338|1|26014010|14021280|705|1
01/09/2011|8|12339|1|50042020|14021270|907|1
07/09/2011|5|12340|6|14021310|06126030|346|1
06/09/2011|18|12341|2|06217010|06112080|897|1
12/09/2011|13|12342|4|06119010|26007020|76|1
09/09/2011|3|12343|6|14021270|06134060|153|1
04/09/2011|16|12344|4|06134060|06119060|226|1
17/09/2011|7|12345|3|14021260|50049050|1116|1
24/09/2011|11|12346|3|06224020|14182290|123|1
08/09/2011|9|12347|3|50049110|14021320|314|1
07/09/2011|9|12348|5|06134050|06112080|415|1
19/09/2011|13|12349|6|06134050|26007040|578|1
30/09/2011|12|12350|6|06119060|14021320|510|1
28/09/2011|9|12351|6|14182280|06217010|544|1
09/09/2011|7|12352|5|06126020|14028050|775|1
01/09/2011|2|12353|1|06126040|06134010|564|1
08/09/2011|10|12354|3|50056050|06112080|520|1
08/09/2011|19|12355|3|06224010|50049050|962|1
03/09/2011|16|12356|1|50056050|14021260|929|1
22/09/2011|6|12357|3|14021240|14028030|953|1
11/09/2011|16|12358|1|06134050|50042020|701|1
16/09/2011|5|12359|3|14021250|06119010|566|1
04/09/2011|5|12360|1|50049050|50035050|135|1
06/09/2011|1|12361|2|06119060|06119080|683|1
07/09/2011|9|12362|5|06210050|06134060|331|1
30/09/2011|8|12363|3|06217030|14021270|238|1
09/09/2011|16|12364|4|50056060|06126040|48|1
03/09/2011|4|12365|1|06119070|50042030|1097|1
26/09/2011|11|12366|2|06126010|06126040|1076|1
13/10/2011|19|12367|5|14021290|06126030|46|1
12/10/2011|4|12368|3|06134050|06126040|790|1
14/10/2011|19|12369|1|06134010|06217030|382|1
31/10/2011|12|12370|2|06119040|14028030|517|1
16/10/2011|9|12371|2|06224020|06119090|154|1
21/10/2011|20|12372|1|06119040|06119020|791|1
20/10/2011|12|12373|1|06224020|50049090|983|1
09/10/2011|7|12374|4|50049090|06119080|364|1
15/10/2011|9|12375|2|06126040|06134040|146|1
12/10/2011|4|12376|4|06119010|06134020|1129|1
02/10/2011|11|12377|2|50049110|06134010|208|1
24/10/2011|5|12378|1|14182270|50056060|936|1
11/10/2011|4|12379|1|26007040|14182270|554|1
16/10/2011|12|12380|5|26007030|06134030|819|1
13/10/2011|3|12381|4|06134060|06119070|772|1
18/10/2011|10|12382|5|06119080|14021320|732|1
27/10/2011|11|12383|6|14028030|06134030|159|1
30/10/2011|17|12384|2|06217010|50035060|288|1
24/10/2011|14|12385|5|50056050|50035050|216|1
30/10/2011|6|12386|4|06210050|26007030|586|1
16/10/2011|14|12387|2|06134050|14021260|1000|1
26/10/2011|9|12388|5|06134010|06134060|512|1
25/10/2011|1|12389|6|06112090|06224020|386|1
23/10/2011|5|12390|1|06134010|26007040|125|1
08/10/2011|2|12391|5|06134020|14021280|327|1
15/10/2011|3|12392|5|14028020|06119020|87|1
26/10/2011|19|12393|2|14021270|06224020|554|1
21/10/2011|4|12394|3|06119060|06119080|962|1
21/10/2011|16|12395|3|14028020|06126010|296|1
28/10/2011|19|12396|3|50049090|14182280|143|1
11/10/2011|3|12397|2|14028040|06210050|580|1
06/10/2011|20|12398|1|06134060|26014010|125|1
02/10/2011|12|12399|3|14021280|06119050|187|1
04/10/2011|12|12400|3|06134050|06126020|592|1
09/10/2011|12|12401|5|50049090|14021230|905|1
15/11/2011|8|12402|1|06126010|06112090|955|1
10/11/2011|17|12403|5|06134020|06119050|1099|1
05/11/2011|5|12404|5|06119040|06134060|1073|1
30/11/2011|15|12405|3|26007040|14021300|917|1
22/11/2011|10|12406|5|14028050|06217010|634|1
19/11/2011|8|12407|3|06134030|14021270|790|1
16/11/2011|15|12408|2|06210050|50049110|403|1
23/11/2011|3|12409|4|50035050|06134030|1057|1
07/11/2011|18|12410|5|14028020|06126020|1062|1
16/11/2011|7|12411|6|14182290|50035060|964|1
27/11/2011|3|12412|3|14021280|06134060|686|1
01/11/2011|3|12413|2|14182270|14028020|102|1
06/11/2011|7|12414|2|06126040|50049090|235|1
10/11/2011|3|12415|4|06217020|06217030|1111|1
12/11/2011|3|12416|5|14182270|50042030|539|1
10/11/2011|12|12417|4|06119090|06224020|214|1
27/11/2011|20|12418|2|06119010|50035050|942|1
14/11/2011|14|12419|2|14182280|50049050|102|1
07/11/2011|12|12420|5|14021300|06119090|421|1
15/11/2011|17|12421|3|14021280|06119050|1120|1
23/11/2011|6|12422|1|06112090|14182290|294|1
28/11/2011|10|12423|6|50042030|14028030|988|1
12/11/2011|16|12424|6|26007040|50035050|526|1
04/11/2011|10|12425|5|06119040|06112090|811|1
03/11/2011|16|12426|5|06126010|06119050|862|1
28/11/2011|5|12427|1|06217020|06134060|301|1
22/11/2011|19|12428|3|06134040|06119060|987|1
06/11/2011|15|12429|4|26007020|14182290|867|1
17/11/2011|12|12430|3|26014010|26007030|1046|1
06/11/2011|11|12431|6|14021290|06119020|599|1
24/11/2011|16|12432|6|14021320|06134020|1117|1
30/11/2011|6|12433|2|06126040|14182290|910|1
09/11/2011|2|12434|3|14021310|06224020|982|1
27/11/2011|11|12435|6|06224020|06134030|41|1
07/11/2011|8|12436|1|14021250|06224010|982|1
29/11/2011|9|12437|3|50049050|14021320|911|1
24/12/2011|2|12438|5|26007020|06217030|40|1
11/12/2011|9|12439|5|06119070|06119020|1035|1
30/12/2011|8|12440|5|06217020|06134030|892|1
24/12/2011|1|12441|2|06210050|06134010|275|1
03/12/2011|16|12442|4|14028050|50035050|704|1
16/12/2011|9|12443|1|14021280|50049090|529|1
26/12/2011|5|12444|1|14021290|14021250|700|1
18/12/2011|1|12445|4|14028030|06134060|702|1
20/12/2011|6|12446|4|06126010|14021300|645|1
27/12/2011|17|12447|5|50056050|50056060|718|1
19/12/2011|11|12448|4|06119060|14021250|517|1
30/12/2011|17|12449|3|06224020|14021230|253|1
06/12/2011|9|12450|3|14028040|06112080|1006|1
09/12/2011|19|12451|6|14021290|06126020|281|1
14/12/2011|4|12452|6|06119040|06217020|486|1
14/12/2011|15|12453|3|14021270|50056060|935|1
06/12/2011|10|12454|1|06112090|14021280|945|1
23/12/2011|1|12455|2|06126030|50035050|733|1
13/12/2011|12|12456|5|26014010|14021300|677|1
07/12/2011|12|12457|6|06134040|14021310|585|1
29/12/2011|19|12458|6|06134020|06119020|539|1
07/12/2011|4|12459|1|06119060|06126010|1110|1
28/12/2011|1|12460|1|06224010|06217020|485|1
01/12/2011|19|12461|4|14021300|26007020|1097|1
13/12/2011|12|12462|2|14182290|14028040|1065|1
07/12/2011|10|12463|2|26014010|14028020|1038|1
10/12/2011|1|12464|3|06134060|06134020|910|1
27/12/2011|18|12465|4|14182280|14021290|842|1
24/12/2011|16|12466|5|06126040|06224010|482|1
23/12/2011|5|12467|5|06134020|14021290|98|1
28/12/2011|18|12468|1|06119010|14028020|927|1
25/12/2011|20|12469|5|14028030|14021290|966|1
09/12/2011|15|12470|3|06119080|06210050|590|1
02/12/2011|5|12471|4|50056060|26007020|70|1
14/12/2011|3|12472|2|50035050|06217030|43|1
06/12/2011|12|12473|3|06119040|50049010|284|1
04/12/2011|17|12474|6|06119020|06134060|582|1
03/12/2011|9|12475|4|06134060|14021240|168|1
13/12/2011|12|12476|3|50049090|06119050|440|1
19/12/2011|1|12477|2|50056050|06126020|758|1
17/01/2012|4|12478|1|14021230|06119070|359|1
11/01/2012|2|12479|4|06126030|14021290|1054|1
28/01/2012|11|12480|6|14021230|06224010|344|1
03/01/2012|20|12481|3|06119080|06134050|129|1
22/01/2012|19|12482|4|06119070|06224010|430|1
25/01/2012|14|12483|4|50049050|14021320|254|1
01/01/2012|17|12484|3|50056050|14182290|623|1
02/01/2012|12|12485|5|50049010|06210050|849|1
26/01/2012|13|12486|2|06126030|06134040|114|1
10/01/2012|2|12487|5|50056050|14021230|942|1
22/01/2012|15|12488|6|06134060|06126010|845|1
08/01/2012|5|12489|3|06119060|06119050|312|1
12/01/2012|12|12490|2|14021320|50049010|479|1
15/01/2012|3|12491|6|06134060|14021300|881|1
27/01/2012|1|12492|5|14182270|50049010|670|1
17/01/2012|5|12493|4|26007020|06119060|472|1
03/01/2012|14|12494|2|06112090|14182270|627|1
29/01/2012|16|12495|5|14021230|06217030|47|1
19/01/2012|16|12496|4|14021240|06119090|237|1
27/01/2012|18|12497|1|06134040|06119020|946|1
16/01/2012|8|12498|1|06134030|14021320|731|1
26/01/2012|17|12499|1|06217030|06126040|211|1
16/01/2012|1|12500|3|14182270|14021230|263|1
04/01/2012|12|12501|5|50056050|14021260|330|1
23/01/2012|20|12502|5|06134020|14028030|995|1
25/01/2012|12|12503|2|06217020|06126030|766|1
07/01/2012|17|12504|6|14021280|50049010|848|1
20/01/2012|19|12505|1|50056050|06126040|813|1
18/01/2012|10|12506|3|14021230|06119010|810|1
13/01/2012|19|12507|3|14021240|06119010|943|1
16/01/2012|1|12508|6|06119060|50035060|388|1
16/01/2012|16|12509|2|06119080|14182290|279|1
28/01/2012|17|12510|5|50056050|50049050|535|1
30/01/2012|12|12511|3|06126010|06126030|256|1
07/01/2012|2|12512|5|26007020|06126010|375|1
21/01/2012|14|12513|3|06119040|26007040|1035|1
13/01/2012|9|12514|6|06112090|06217010|643|1
16/01/2012|5|12515|1|50035050|14021240|716|1
27/01/2012|17|12516|5|50042030|14182280|575|1
14/01/2012|6|12517|4|50035050|14021280|694|1
18/02/2012|4|12518|6|14021320|06217030|985|1
04/02/2012|10|12519|5|06119010|26007030|636|1
12/02/2012|13|12520|2|14021280|06119060|444|1
10/02/2012|3|12521|6|06134060|06134040|850|1
08/02/2012|9|12522|6|50049110|06134050|573|1
02/02/2012|20|12523|4|50056050|06112090|448|1
18/02/2012|15|12524|4|14021300|50056060|1069|1
13/02/2012|1|12525|2|06119010|14028040|754|1
19/02/2012|20|12526|3|06224010|14182290|222|1
15/02/2012|11|12527|3|06134040|06217010|358|1
15/02/2012|10|12528|4|14021230|06134060|603|1
04/02/2012|4|12529|6|14021310|14021270|429|1
06/02/2012|7|12530|3|06134040|14021270|966|1
05/02/2012|17|12531|2|26007030|14021250|1050|1
22/02/2012|12|12532|1|06217010|14021290|67|1
